exon_id,n_mean,slope_mean,pearson_mean,spearman_mean,n_prod,slope_prod,pearson_prod,spearman_prod
ABCA4_e10,277,0.5254658154780155,0.7721767092536236,0.7853832229715204,277,0.7797914258704358,0.7556429859228561,0.7834223345925353
ABCA4_e9,406,0.06373135387593966,0.32207148817750136,0.2692243968033594,406,0.10858064485636212,0.3218472764569216,0.2687867662867995
ABCB11_e12,320,0.0810112476455077,0.4304531114667005,0.43656096378533304,320,0.11368665091049686,0.43737598859223326,0.4417535873945348
ABCB11_e4,143,1.1267736477175119,0.8857293277110788,0.8753570373288684,143,1.9862227639987362,0.8849983124120772,0.8754432187530778
ABCC2_e21,387,0.23105834321057267,0.40170144517506684,0.6082524044209722,387,0.444467460619895,0.3966387822465108,0.6090022992710982
ABHD12_e5,31,0.12722997345460854,0.48680693560204025,0.49758064516129036,31,0.19685691500000227,0.4942167394769033,0.5020161290322581
ABI2_e10,249,0.31798224500484007,0.7439579088436364,0.7661224831652,249,0.4676932111564091,0.7343908299746719,0.763081192267356
ABLIM1_e20,12,0.15574632938418304,0.18153902395726695,0.04195804195804196,12,0.3005338610620321,0.18308381396255452,0.04195804195804196
ABLIM3_e14,275,0.03567248940920343,0.17522209862550653,0.2739500121101572,275,0.0669640392315946,0.1728524142142687,0.2739794400016531
ACACA_e2,319,0.7505576530387357,0.8609152254748046,0.8543336572878072,319,1.1948908952338297,0.8531656702404289,0.8536914079024216
ACADM_e3,282,0.07079363281915058,0.3721905050016752,0.4340183646506904,282,0.09611287553390749,0.39168752411026964,0.4689372536626022
ACTN2_e8,246,0.4235542236543822,0.7441532063877275,0.7467801264311008,246,0.8188808118839042,0.743360783092169,0.7465987563250457
ADAM32_e10,234,0.3986452534191781,0.7650025280303498,0.7752345540923286,234,0.5116249190379766,0.7592771193018442,0.77646615327471
ADAM32_e11,396,0.07532917463087546,0.44474003812917995,0.42647358285149933,396,0.10425112845659357,0.4164283881545977,0.4306529591108872
ADAM32_e15,313,0.5999472144984361,0.7860714002253343,0.7968933959815965,313,1.0365704482628284,0.7757270193105603,0.7971360260445178
ADAMTS20_e8,304,0.6114823179745492,0.7494361112541329,0.7211019831138887,304,1.064748122086281,0.747888792048635,0.7201815068197304
ADCY8_e11,255,0.4638722591631157,0.7622939873092469,0.7485011847234345,255,0.7282832087713791,0.7613381722577646,0.7494063268336094
